,E,H,H+,H2,C,C+,O+,O,OH+,OH,H2O,H2O+,H3O+,CO,CO+,HCO+
315.36,1.0690706030803375e-07,0.00035824896309878787,1.0000000000225605e-16,9999.999820875522,0.9999998930929577,1.0690704264787376e-07,1.771517732377791e-14,1.999999999999982,1.4462002613890202e-16,1.000000176888381e-16,9.999997565466575e-17,1.0017019868884728e-16,1.0019245139326923e-16,9.999999899792807e-17,9.97706812575931e-17,1.0022931873853413e-16
323.45779223956055,1.096522122456393e-07,0.000367448055077993,1.0000000000237331e-16,9999.999816275975,0.9999998903478062,1.0965219413200295e-07,1.816632921550843e-14,1.9999999999999816,1.469326805598976e-16,1.0000001814305981e-16,9.999997502954001e-17,1.0017707322128079e-16,1.001973961246556e-16,9.99999989722992e-17,9.976479975696102e-17,1.002352002389648e-16
331.7635190274319,1.1246785399675325e-07,0.00037688336069955703,1.0000000000249666e-16,9999.999811558322,0.999999887532165,1.1246783541799618e-07,1.8629005034208768e-14,1.9999999999999811,1.493652421841563e-16,1.0000001860894546e-16,9.999997438836297e-17,1.0018432095731386e-16,1.0020246818476546e-16,9.999999894601755e-17,9.975876759174688e-17,1.0024123240396705e-16
340.2825196925437,1.1535579559351736e-07,0.0003865609454407992,1.0000000000262641e-16,9999.99980671953,0.9999998846442238,1.1535577653769628e-07,1.9103497540562142e-14,1.9999999999999807,1.519239243968662e-16,1.0000001908679458e-16,9.999997373072249e-17,1.0019196694074328e-16,1.0020767088144938e-16,9.999999891906665e-17,9.975258091190817e-17,1.0024741908358285e-16
349.0202706667465,1.1831789354593315e-07,0.0003964870305279363,1.0000000000276291e-16,9999.999801756489,0.9999998816821264,1.18317874000798e-07,1.9590106849564877e-14,1.9999999999999802,1.5461526208459369e-16,1.000000195769144e-16,9.999997305619586e-17,1.0020003807597918e-16,1.0021300761104462e-16,9.999999889142957e-17,9.974623576951272e-17,1.002537642257438e-16
357.9823890053263,1.2135605203531417e-07,0.00040666799693538585,1.000000000029065e-16,9999.999796666005,0.9999998786439683,1.2135603198830039e-07,2.0089140610934823e-14,1.9999999999999798,1.5744612822929516e-16,1.0000002007962003e-16,9.999997236434952e-17,1.0020856327181882e-16,1.0021848186095473e-16,9.999999886308904e-17,9.973972811627557e-17,1.0026027187873423e-16
367.1746359979273,1.2447222413838707e-07,0.0004171103894877731,1.0000000000305754e-16,9999.999791444809,0.9999998755277968,1.244722035766075e-07,2.0600914193718267e-14,1.9999999999999791,1.604237513553981e-16,1.0000002059523468e-16,9.999997165473876e-17,1.0021757359648701e-16,1.0022409721232114e-16,9.999999883402728e-17,9.973305380103507e-17,1.0026694619371521e-16
376.6029208721908,1.2766841308282295e-07,0.0004278209210672637,1.0000000000321643e-16,9999.999786089542,0.9999998723316084,1.2766839199305938e-07,2.1125750875180005e-14,1.9999999999999787,1.6355573387352716e-16,1.0000002112408986e-16,9.999997092690747e-17,1.002271024448308e-16,1.0022985734279103e-16,9.999999880422614e-17,9.972620856716698e-17,1.0027379142731029e-16
386.27330459249356,1.3094667353500742e-07,0.00043880647692892905,1.0000000000338358e-16,9999.999780596765,0.9999998690533485,1.3094665190370236e-07,2.1663982034063357e-14,1.999999999999978,1.6685007136665941e-16,1.0000002166652558e-16,9.999997018038784e-17,1.0023718571862525e-16,1.0023576602938653e-16,9.999999877366696e-17,9.9719188049935e-17,1.0028081194425504e-16
396.19200375623893,1.3430911292088098e-07,0.0004500741191269316,1.0000000000355941e-16,9999.999774962944,0.9999998656909096,1.343090907341288e-07,2.221594734830837e-14,1.9999999999999776,1.7031517286680948e-16,1.0000002222289059e-16,9.999996941470002e-17,1.0024786202102383e-16,1.0024182715147998e-16,9.999999874233068e-17,9.971198777377643e-17,1.0028801222011146e-16
